Study_Hours,Attendance,Previous_Score,Assignments_Score,Final_Marks
5.0,76,91,54,86.2
9.6,68,76,92,95.3
7.9,92,93,94,100.0
6.8,79,60,80,83.0
3.2,72,53,72,67.6
3.2,87,70,91,79.1
2.5,88,94,59,77.6
8.9,72,87,81,92.2
6.8,94,57,92,82.4
7.7,65,46,79,76.4
2.2,77,49,88,69.8
9.8,64,46,80,82.9
8.7,84,72,67,83.1
3.7,61,62,85,72.6
3.5,69,60,51,70.3
3.5,89,58,63,74.6
4.4,64,87,62,70.9
6.2,92,58,78,87.2
5.5,60,75,61,74.1
4.3,77,68,88,78.0
6.9,91,99,51,95.7
3.1,70,57,81,64.6
4.3,80,41,62,63.6
4.9,85,40,95,77.6
5.6,84,86,76,90.7
8.3,81,44,98,82.4
3.6,86,59,90,76.7
6.1,72,50,66,66.5
6.7,92,81,89,94.1
2.4,93,41,80,61.4
6.9,94,42,83,81.9
3.4,60,62,73,59.3
2.5,80,94,94,89.2
9.6,65,51,84,83.6
9.7,87,59,97,97.3
8.5,76,44,55,72.9
4.4,64,76,68,76.9
2.8,90,77,79,80.1
7.5,64,69,56,73.2
5.5,97,48,59,78.4
3.0,62,73,90,73.0
6.0,82,92,81,88.4
2.3,96,83,83,82.9
9.3,96,74,77,95.8
4.1,69,91,64,81.5
7.3,69,97,79,100.0
4.5,78,61,86,77.8
6.2,76,83,78,87.7
6.4,80,63,71,86.8
3.5,73,56,53,66.6
9.8,68,49,69,79.1
8.2,60,69,81,80.9
9.5,72,95,85,100.0
9.2,63,98,99,100.0
6.8,60,85,53,79.9
9.4,99,62,76,97.1
2.7,91,71,66,74.0
3.6,93,56,61,73.0
2.4,87,89,71,84.7
4.6,90,90,66,85.7
5.1,67,56,59,64.6
4.2,98,53,50,70.6
8.6,85,48,71,79.0
4.9,93,79,75,90.2
4.2,62,41,67,55.9
6.3,71,84,99,90.7
3.1,60,64,63,71.6
8.4,64,78,96,91.8
2.6,89,48,78,69.7
9.9,89,93,61,100.0
8.2,76,61,85,83.3
3.6,82,82,84,80.0
2.0,74,85,61,73.9
8.5,96,43,56,79.2
7.7,80,65,78,80.0
7.8,73,97,60,93.3
8.2,61,68,82,85.6
2.6,70,84,55,69.4
4.9,98,73,96,91.4
2.9,97,62,64,76.6
8.9,93,76,81,98.5
7.0,97,50,60,80.6
4.6,93,45,72,71.1
2.5,77,57,75,63.8
4.5,89,60,83,77.2
4.6,74,81,95,83.3
7.8,86,75,83,91.7
7.1,93,80,78,96.5
9.1,97,77,53,89.3
5.8,92,73,66,84.9
3.0,83,56,84,68.4
7.7,74,76,62,82.0
8.1,89,64,90,92.2
6.5,76,77,88,83.9
8.2,64,97,64,93.5
6.0,88,51,78,73.3
6.2,63,62,78,76.8
5.4,69,92,60,78.4
2.2,76,81,81,75.0
2.9,69,61,51,68.2
2.3,76,60,96,76.9
7.1,79,66,63,79.2
4.5,83,96,69,89.5
6.1,64,70,71,80.3
9.3,93,45,60,83.2
4.0,65,66,76,70.3
5.3,61,79,52,71.3
8.0,72,73,66,86.6
3.8,70,51,93,72.9
2.6,82,84,77,85.2
4.3,75,96,78,82.2
3.3,90,92,70,82.3
9.4,70,46,96,85.6
8.5,75,49,65,71.7
7.1,67,84,86,92.4
9.0,63,56,69,77.0
8.4,99,65,55,86.1
3.5,63,60,68,65.9
9.1,84,67,54,81.5
6.3,62,97,52,86.0
8.5,91,85,50,97.6
9.2,62,41,87,78.0
4.5,86,99,64,88.7
2.9,88,93,83,82.8
3.8,91,82,84,81.9
5.4,78,40,98,68.5
